financial_factor,multi_factor,internet_factor,total_charges,monthly_charges,client_factor,tenure,monthly_contract,two_year_contract,fiber_optic,electronic_check,online_backup,paperless_billing,streaming_movies,multiple_lines,device_protection,churn
3.988824202956434,2.3600625090929253,2.464568741248357,29.85,29.85,2.9124611653902623,1,1,0,0,1,1,1,0,0,0,0
1.733961718530716,1.4301042823345829,1.4126331320344128,1889.5,56.95,2.6936535484524304,34,0,0,0,0,0,0,0,0,1,0
3.307587711692156,2.0795230586706657,1.9256734437627752,108.15,53.85,3.380394098795347,2,1,0,0,0,1,1,0,0,0,1
1.4464451408722607,1.4336779262845367,0.8270081265180632,1840.75,42.3,2.798423198680614,45,0,0,0,0,0,0,0,0,1,0
4.071363939165737,2.6694375598136095,3.5099725761554224,151.65,70.7,3.266118997210976,2,1,0,1,1,0,1,0,0,0,1
4.50957335702183,3.0278429636213393,4.062241711829974,820.5,99.65,4.066842701694948,8,1,0,1,1,0,1,1,1,1,1
2.8876494732013254,2.224016422603056,2.97226182714417,1949.4,89.1,2.4808036162571905,22,1,0,1,0,1,1,0,1,0,0
2.255119722712518,1.7236418026044293,1.4079465303011394,301.9,29.75,2.91348167171077,10,1,0,0,0,0,0,0,0,0,0
3.9997078490573426,2.551487955585719,2.8875573411289515,3046.05,104.8,2.909712222641458,28,1,0,1,1,0,1,1,1,1,1
1.7336074440944982,1.3638445534228925,1.394107305998205,3487.95,56.15,2.2212286287098157,62,0,0,0,0,1,0,0,0,0,0
2.7220796358006734,1.3693170117636013,1.1059933203507977,587.45,49.95,1.4837464041632002,13,1,0,0,0,0,1,0,0,0,0
1.870205468957948,1.9586527961354612,2.6148310770343617,326.8,18.95,2.8302631969055025,16,0,1,0,0,0,0,0,0,0,0
2.210303874664145,2.0122455047202825,3.8343031660086098,5681.1,100.35,2.8341852032767227,58,0,0,1,0,0,0,1,1,1,0
3.4119789680969674,2.6633247977382997,3.6080532495067157,5036.3,103.7,3.2240323245976183,49,1,0,1,0,1,1,1,1,1,1
3.8403067327411518,2.454281211654336,2.584913822746494,2686.05,105.5,3.195326796824068,25,1,0,1,1,0,1,1,0,1,0
2.2398559508996563,1.4650837708666795,2.5909662816641896,7895.15,113.25,2.293205602347037,69,0,1,1,0,1,0,1,1,1,0
1.6259392501298089,1.8061183369151679,2.581268914154281,1022.95,20.65,2.8994479058191094,52,0,0,0,0,0,0,0,0,0,0
